restaurantID;name;location;reviewCount;rating;categories;address;Hours;GoodforKids;AcceptsCreditCards;Parking;Attire;GoodforGroups;PriceRange;TakesReservations;Delivery;Takeout;WaiterService;OutdoorSeating;WiFi;GoodFor;Alcohol;NoiseLevel;Ambience;HasTV;Caters;WheelchairAccessible;webSite;phoneNumber;filReviewCount
3qIISjUYn1tbqHXi7nCLXg;Sofia Wine Bar & Cafe;Sofia Wine Bar & Cafe - Midtown East - New York, NY;195;4;Restaurants, Italian, Nightlife, Bars, Wine Bars, METADATA;242 E 50th St (between 3rd Ave & 2nd Ave) New York, NY 10022 Neighborhood: Midtown East;Mon-Wed 4 pm - 12 am Thu 4 pm - 1 am Fri-Sat 4 pm - 2 am Sun 3 pm - 12 am;No;Yes;Garage, Street;Casual;No;$$;No;No;Yes;Yes;No;No;Late Night, Dinner;Beer & Wine Only;Average;Romantic, Intimate;No;No;No;http://sofiawinebar.com;(212) 888-8660;24
fX5ZbdI1a10HdbIl_8NyTw;Manchester Pub;Manchester Pub - Midtown East - New York, NY;71;3,5;Nightlife, Bars, Pubs, Restaurants, American (Traditional), METADATA;920 2nd Ave (between 48th St & 49th St) New York, NY 10017 Neighborhood: Midtown East;Mon-Sun 11 am - 4 am;No;Yes;Garage, Street;Casual;Yes;$$;Yes;Yes;Yes;Yes;No;Free;Late Night, Dinner;Full Bar;Average;;Yes;Yes;Yes;http://www.manchesterpubnyc.com;(212) 935-8901;10
v2Ft4UwoGRVqwscljbxOvQ;BXL East;BXL East - Midtown East - New York, NY;91;4;Restaurants, Belgian, Nightlife, Bars, Pubs, METADATA;210 E 51st St (between 3rd Ave & 2nd Ave) New York, NY 10022 Neighborhood: Midtown East;;No;Yes;Street;Casual;Yes;$$;Yes;No;Yes;Yes;No;No;Late Night, Dinner;Beer & Wine Only;Average;Casual;Yes;;No;http://bxlcafe.com/;(212) 888-7782;10
RrYu2qflS9MkK8U8kwbBXg;Flute Midtown;Flute Midtown - Midtown West - New York, NY;108;3,5;Nightlife, Bars, Lounges, Champagne Bars, METADATA;205 W 54th St (between 7th Ave & Broadway) New York, NY 10019 Neighborhoods: Midtown West, Theater District;Mon-Wed, Sun 5 pm - 2 am Thu 5 pm - 3 am Fri-Sat 5 pm - 4 am;;Yes;Street;;Yes;$$$;;;;;No;;;Full Bar;Average;Romantic;No;;No;http://www.flutebar.com;(212) 265-5169;13
PMp7WlHIXQUnej-Ds1jRfw;Blind Tiger Ale House;Blind Tiger Ale House - West Village - New York, NY;437;4;Restaurants, American (Traditional), Nightlife, Bars, Pubs, METADATA;281 Bleecker St (between Jones St & Commerce St) New York, NY 10014 Neighborhood: West Village;Mon-Sun 11:30 am - 4 am;No;Yes;Street;Casual;Yes;$$;No;No;No;No;No;No;Late Night;Beer & Wine Only;Very Loud;Casual;Yes;No;Yes;http://www.blindtigeralehouse.com;(212) 462-4682;22
iNNw9lvY5DPCS5CmUrWMBw;The Pony Bar;The Pony Bar - Hell's Kitchen - New York, NY;385;4,5;Nightlife, Bars, METADATA;637 10th Ave (between 45th St & 46th St) New York, NY 10036 Neighborhoods: Hell's Kitchen, Midtown West;Mon-Fri 3 pm - 4 am Sat-Sun 12 pm - 4 am;;Yes;Street;;Yes;$;;;;;No;;;Full Bar;Loud;Casual;Yes;;Yes;http://www.theponybar.com/;(212) 586-2707;31
Z9Jj43yxc1BY_hxCKBqCQQ;McAleer's Pub;McAleer's Pub - Upper West Side - New York, NY;76;3,5;Nightlife, Bars, Pubs, METADATA;425 Amsterdam Ave (between 80th St & 81st St) New York, NY 10024 Neighborhood: Upper West Side;Mon-Sun 11 am - 4 am;;Yes;Street;;Yes;$$;;;;;Yes;;;Full Bar;Average;Divey, Casual;Yes;;Yes;http://mcaleerspub.com;(212) 362-7867;10
f4FIPP3ogbruFhPUO-Pz_g;Bubble Lounge;Bubble Lounge - TriBeCa - New York, NY;158;3,5;Nightlife, Bars, Lounges, METADATA;228 W Broadway (between Franklin St & White St) New York, NY 10013 Neighborhood: TriBeCa;Mon-Tue 5 pm - 12:30 am Wed 5 pm - 1 am Thu 5 pm - 2:30 am Fri-Sat 5 pm - 4 am;;Yes;Street;;Yes;$$$;;;;;No;;;;Average;Romantic, Trendy;No;;No;http://www.bubblelounge.com;(212) 431-3433;14
qi38EfHlfjGWIPSKT81nXg;Flute Gramercy;Flute Gramercy - Flatiron - New York, NY;141;3,5;Nightlife, Bars, Lounges, Champagne Bars, Arts & Entertainment, Music Venues, METADATA;40 E 20th St (between Broadway & S Park Ave) New York, NY 10003 Neighborhood: Flatiron;Mon-Wed, Sun 4 pm - 2 am Thu 4 pm - 3 am Fri-Sat 4 pm - 4 am;No;Yes;Street;;Yes;$$$;;;;;No;;;Full Bar;Average;Romantic, Intimate;No;;Yes;http://www.flutebar.com;(212) 529-7870;13
o3l8CcisNgu10SQB-rRATw;Beckett's Bar & Grill;Beckett's Bar & Grill - Financial District - New York, NY;80;2,5;Nightlife, Bars, Pubs, Restaurants, American (New), Sports Bars, METADATA;81 Pearl St (between Hanover Sq & Coenties Aly) New York, NY 10004 Neighborhood: Financial District;Mon-Wed 11 am - 2 am Thu-Sat 11 am - 3 am Sun 11 am - 1 am;No;Yes;;Casual;Yes;$$;Yes;Yes;Yes;Yes;Yes;;Lunch, Dinner;Full Bar;Average;Casual;Yes;;;http://beckettsnyc.com;(212) 269-1001;12
lDQElG-M_3kcDTLgzFtb8w;The Oak Room;The Oak Room - CLOSED - Hell's Kitchen - New York, NY;122;3,5;Restaurants, American (New), Nightlife, Bars, Lounges, METADATA;Plaza Hotel 10 Central Park S New York, NY 10019;;No;Yes;Street;Dressy;Yes;$$$;Yes;No;No;Yes;No;No;Dinner;Full Bar;Average;Romantic, Touristy;No;No;Yes;http://www.oakroomny.com;(212) 758-7777;17
RTA_esY_iOwFe3qyNzHeLQ;BIN No. 220;BIN No. 220 - South Street Seaport - New York, NY;46;4;Nightlife, Bars, Wine Bars, METADATA;220 Front St (between Beekman St & Peck Slip) New York, NY 10038 Neighborhood: South Street Seaport;;;Yes;Street;;No;$$;;;;;Yes;;;Full Bar;Average;Romantic;No;;No;http://www.binno220.com/;(212) 374-9463;10
Ac1irK7K_PAQ06mE8CchLw;Lucky Strike Lanes & Lounge;Lucky Strike Lanes & Lounge - Hell's Kitchen - New York, NY;106;3;Nightlife, Bars, Active Life, Bowling, Restaurants, American (New), METADATA;River Place 650 W 42nd St New York, NY 10036 Neighborhoods: Hell's Kitchen, Midtown West;Mon-Thu, Sun 12 pm - 2 am Fri-Sat 12 pm - 4 am;No;Yes;Garage;Dressy;Yes;$$$;Yes;Yes;Yes;Yes;No;Free;Late Night;Full Bar;Average;Trendy;Yes;Yes;Yes;http://www.bowlluckystrike.com;(646) 829-0170;78
Qh5cVgmoX09OMFSDtri7Vg;The House of Brews;The House of Brews - Hell's Kitchen - New York, NY;146;3,5;Nightlife, Bars, Sports Bars, METADATA;302 W 51st St (between 8th Ave & 9th Ave) New York, NY 10019 Neighborhoods: Hell's Kitchen, Midtown West, Theater District;Mon-Sun 11 am - 4 am;;Yes;Street;;Yes;$$;;;;;Yes;;;Full Bar;Average;Casual;Yes;;No;http://www.houseofbrewsny.com;(212) 541-7080;17
dMK1FfP9nlhkvRarUL2Jtg;Bar 89;Bar 89 - SoHo - New York, NY;322;3,5;Nightlife, Bars, Restaurants, American (New), METADATA;89 Mercer St (between Broome St & Spring St) New York, NY 10012 Neighborhood: SoHo;Mon-Thu, Sun 12 pm - 1 am Fri-Sat 12 pm - 2 am;No;Yes;Street;Casual;Yes;$$;No;No;Yes;Yes;No;No;Late Night, Dinner;Full Bar;Average;Trendy;No;No;Yes;http://www.bar89.com;(212) 274-0989;30
xnRgRjOyLjwkWJeajg6CHg;Connolly's;Connolly's - Midtown West - New York, NY;37;3,5;Nightlife, Bars, Pubs, Restaurants, American (Traditional), METADATA;43 W 54th St (between 5th Ave & Avenue Of The Americas) New York, NY 10019 Neighborhood: Midtown West;;No;Yes;;Casual;Yes;$$;Yes;No;Yes;Yes;No;;Late Night, Dinner;Full Bar;Average;;Yes;No;No;http://www.connollyspubandrestaura…;(212) 246-7632;2
RbXkUNt4O2_5vQT0mucjfw;Smalls;Smalls - West Village - New York, NY;89;4,5;Nightlife, Bars, Lounges, Arts & Entertainment, Jazz & Blues, METADATA;183 W 10th St (between 4th St & S 7th Ave) New York, NY 10014 Neighborhood: West Village;;No;Yes;Street;;Yes;$$;;;;;No;;;Full Bar;Loud;;No;;No;http://www.smallsjazzclub.com;(212) 252-5091;12
A6rMNYsQ3AqPmm_6jofNzw;Jake's Saloon;Jake's Saloon - Chelsea - New York, NY;59;3;Nightlife, Bars, METADATA;206 W 23rd St (between 7th Ave & 8th Ave) New York, NY 10011 Neighborhood: Chelsea;;;Yes;Street;;Yes;$$;;;;;No;;;Full Bar;Average;;Yes;;Yes;http://www.jakessaloonnyc.com/jake…;(212) 337-3100;9
-OAQxe4X74oe0I7_s2E8uA;The Irish Punt;The Irish Punt - New York, NY;18;3;Restaurants, Nightlife, Bars, Pubs, METADATA;40 Exchange Pl Lbby 1 New York, NY 10005;;No;Yes;Street;Casual;Yes;$$;No;No;Yes;Yes;No;No;;Full Bar;Average;;Yes;;No;;(212) 422-7868;1
Pgex-_6RScYEQASzv-D_RQ;Boss Tweed's;Boss Tweed's - Lower East Side - New York, NY;139;3,5;Nightlife, Bars, Sports Bars, Pubs, METADATA;115 Essex St (between Delancey St & Rivington St) New York, NY 10002 Neighborhood: Lower East Side;Mon-Sun 12 pm - 4 am;;Yes;Street;;Yes;$;;;;;Yes;;;Full Bar;Average;Divey;Yes;;No;http://www.bosstweeds.com;(212) 475-9997;14
QArou0r7CmLNPWYRA9ecog;McSorley's Old Ale House;McSorley's Old Ale House - East Village - New York, NY;772;4;Nightlife, Bars, Dive Bars, Food, Breweries, METADATA;15 E 7th St (between Cooper Sq & Taras Shevchenko Pl) New York, NY 10003 Neighborhood: East Village;Mon-Sat 11 am - 1 am Sun 1 pm - 1 am;;No;Street;;Yes;$;;;;;No;;;Beer & Wine Only;Loud;Divey;No;;No;http://www.mcsorleysnewyork.com;(212) 473-9148;55
8l4l9r4-K5TYq_i0mP69bg;The Dubliner;The Dubliner - Financial District - New York, NY;75;3;Restaurants, Irish, Nightlife, Bars, Pubs, METADATA;45 Stone St (between Coenties Aly & Mill Ln) New York, NY 10004 Neighborhood: Financial District;;No;Yes;Street;Casual;Yes;$$;Yes;Yes;Yes;Yes;Yes;;Lunch, Dinner;Full Bar;Average;Casual;Yes;No;;http://dublinernyc.com;(212) 785-5400;4
4Dbfn17WRdOgldt5IKWeZA;Miracle Bar & Grill;Miracle Bar & Grill - CLOSED - West Village - New York, NY;30;4;Nightlife, Bars, Restaurants, Breakfast & Brunch, Tex-Mex, American (New), METADATA;415 Bleecker St (between 11th St & Bank St) New York, NY 10014 Neighborhood: West Village;;Yes;Yes;Street;Casual;Yes;$$;Yes;Yes;Yes;Yes;No;;Dinner;Full Bar;;;;;Yes;;(212) 924-1900;3
BoUb4Bj6SlXjHNhslQVChA;Blaggards Pub;Blaggards Pub - Midtown West - New York, NY;35;3;Nightlife, Bars, Pubs, METADATA;210 W 35th St (between 7th Ave & 8th Ave) New York, NY 10001 Neighborhood: Midtown West;Mon-Sun 11 am - 4 am;;Yes;Street;;Yes;$$;;;;;No;;;Full Bar;Quiet;;Yes;;Yes;http://www.blaggardsnyc.com/;(212) 564-8221;1
TRqV-lz_wXthq1iKLUfcdw;Riviera Cafe;Riviera Cafe - West Village - New York, NY;103;3;Nightlife, Bars, Sports Bars, METADATA;225 W 4th St (between 10th St & 4 St) New York, NY 10014 Neighborhood: West Village;;;Yes;Street;;Yes;$$;;;;;Yes;;;Full Bar;Average;Casual;Yes;;Yes;;(212) 929-3250;14
8DNI5z7pKzi8YmMaz2uFEw;The Australian;The Australian - Midtown West - New York, NY;102;3,5;Nightlife, Bars, Pubs, METADATA;20 W 38th St New York, NY 10017 Neighborhood: Midtown West;Mon-Wed, Sun 11:30 am - 12 am Thu 11:30 am - 2 am Fri-Sat 11:30 am - 4 am;;Yes;Street;;Yes;$$;;;;;No;;;Full Bar;Loud;Casual;Yes;;Yes;http://www.theaustraliannyc.com;(212) 869-8601;16
BDM5u5RodeZbElVo_iRdXQ;The Red Lion;The Red Lion - Greenwich Village - New York, NY;106;3,5;Restaurants, Nightlife, Bars, Pubs, METADATA;151 Bleecker St (between Laguardia Pl & Thompson St) New York, NY 10012 Neighborhood: Greenwich Village;Mon-Fri 11 am - 4 am Sat-Sun 9 am - 4 am;No;Yes;Street;Casual;Yes;$$;No;No;Yes;Yes;Yes;;;Full Bar;Very Loud;Casual;Yes;No;Yes;http://www.redlionnyc.com;(212) 260-9797;28
mZh8dgA3JKx8SL5dFWAJkQ;BXL Belgian Cafe;BXL Belgian Cafe - Midtown West - New York, NY;272;4;Nightlife, Bars, Pubs, Restaurants, Belgian, Breakfast & Brunch, METADATA;125 W 43rd St (between Avenue Of The Americas & Broadway) New York, NY 10036 Neighborhoods: Midtown West, Theater District;Mon-Sun 11:30 am - 4 am;No;Yes;Street;Casual;Yes;$$;Yes;No;No;Yes;No;No;Late Night, Dinner;Full Bar;Average;Casual;Yes;No;Yes;http://bxlcafe.pregraphic.com;(212) 768-0200;15
Ya8R3poyNFgz7sIOyU1MMQ;Tribeca Tavern & Cafe;Tribeca Tavern & Cafe - TriBeCa - New York, NY;87;3,5;Nightlife, Bars, Pubs, METADATA;247 W Broadway (between Walker St & Beach St) New York, NY 10013 Neighborhood: TriBeCa;Mon-Sun 11 am - 4 am;;Yes;Street;;Yes;$$;;;;;No;;;Full Bar;Average;Casual;Yes;;Yes;;(212) 941-7671;10
4WUS6B-fjzlnmU8xNPrqqw;Subway Inn;Subway Inn - Upper East Side - New York, NY;83;3,5;Restaurants, Nightlife, Bars, Dive Bars, METADATA;143 E 60th St (between 3rd Ave & Lexington Ave) New York, NY 10022 Neighborhood: Upper East Side;;No;Yes;Street;Casual;Yes;$;No;No;;;No;;;Full Bar;Loud;Divey;Yes;;Yes;;(212) 223-8929;5
wLvcBF3tbvu5h6XDYfm7DA;Burp Castle;Burp Castle - East Village - New York, NY;335;4;Nightlife, Bars, Pubs, Lounges, METADATA;41 E 7th St (between 2nd Ave & Taras Shevchenko Pl) New York, NY 10003 Neighborhood: East Village;Mon-Thu 5 pm - 12 am Fri 5 pm - 2 am Sat 4 pm - 2 am Sun 4 pm - 12 am;;Yes;Street;;No;$$;;;;;Yes;;;Beer & Wine Only;Quiet;Casual, Intimate;No;;No;http://burpcastlenyc.wordpress.com/;(212) 982-4576;13
DYlFyDgZOUoKlWIKkuqB_Q;Telephone Bar & Grill;Telephone Bar & Grill - CLOSED - East Village - New York, NY;98;3,5;Restaurants, British, Nightlife, Bars, METADATA;149 2nd Ave (between 9th St & 10th St) New York, NY 10003 Neighborhood: East Village;;No;Yes;Street;Casual;Yes;$$;No;No;No;Yes;Yes;;Late Night, Dinner;Full Bar;;;;;No;http://www.telebar.com;(212) 529-5000;3
f7i6LxdwbDXExDn_58tXaA;The Ginger Man;The Ginger Man - Midtown East - New York, NY;566;4;Nightlife, Bars, Food, Breweries, METADATA;11 E 36th St (between 5th Ave & Madison Ave) New York, NY 10016 Neighborhood: Midtown East;Mon-Thu 11:30 am - 2 am Fri 11:30 am - 4 am Sat 12:30 pm - 4 am Sun 12:30 pm - 2 am;;Yes;Street;;Yes;$$;;;;;No;;;Full Bar;Average;Casual;Yes;;Yes;http://www.gingerman-ny.com/;(212) 532-3740;35
a_vTZubxnupwfFrOqC6xLQ;Tillman's Bar & Lounge;Tillman's Bar & Lounge - Chelsea - New York, NY;128;3,5;Nightlife, Bars, Lounges, METADATA;165 W 26th St New York, NY 10184 Neighborhood: Chelsea;Mon-Wed 5 pm - 2 am Thu-Fri 5 pm - 4 am Sat 7 pm - 4 am;;Yes;Street;;Yes;$$;;;;;No;;;Full Bar;Average;Romantic, Trendy, Casual, Intimate;No;;Yes;http://www.tillmansnyc.com;(212) 627-8320;30
QLSqOe4uw0Q8frqk9kvP5w;John Street Bar & Grill;John Street Bar & Grill - CLOSED - Financial District - New York, NY;38;3,5;Nightlife, Bars, Dive Bars, Restaurants, American (Traditional), METADATA;17 John St (between Broadway & Nassau St) New York, NY 10038 Neighborhood: Financial District;;No;Yes;Street;Casual;Yes;$$;No;Yes;Yes;Yes;No;;Dinner;Full Bar;Average;Divey;Yes;No;No;;(212) 349-4659;11
obW54OP_AXnfhrDURjr0hQ;Bounce;Bounce - CLOSED - East Village - New York, NY;36;3;Nightlife, Bars, Sports Bars, Restaurants, METADATA;103 2nd Ave (between 6th St & 7th St) New York, NY 10003 Neighborhood: East Village;;No;Yes;Street;Casual;Yes;$$;Yes;;;Yes;Yes;;;Full Bar;;;;;No;http://www.bounceny.com;(212) 533-6700;4
MSaYu4NooT3Uq7iDsGPkjw;Croxley Ales;Croxley Ales - East Village - New York, NY;345;3,5;Restaurants, Nightlife, Bars, Sports Bars, Pubs, METADATA;28 Ave B New York, NY 10009 Neighborhoods: East Village, Alphabet City;;No;Yes;Street;Casual;Yes;$;No;No;No;Yes;No;No;Late Night, Dinner;Full Bar;Average;Casual;Yes;;Yes;http://www.croxley.com;(212) 253-6140;10
2LRg0V0K1iG6JqIvCND5kg;Peculier Pub;Peculier Pub - Greenwich Village - New York, NY;229;3,5;Nightlife, Bars, Pubs, Restaurants, American (Traditional), METADATA;145 Bleecker St (between Laguardia Pl & Thompson St) New York, NY 10012 Neighborhood: Greenwich Village;Mon-Wed 5 pm - 2 am Thu 4 pm - 3 am Fri 3:30 pm - 4 am Sat 2 pm - 4 am Sun 2 pm - 1 am;No;No;Street;Casual;Yes;$;No;No;No;Yes;No;No;Late Night;Full Bar;Loud;Divey;Yes;No;No;http://www.peculierpub.com;(212) 353-1327;12
4TLA47W1Z2xHKNQTjMHfYg;Elmo;Elmo - Chelsea - New York, NY;331;3,5;Restaurants, American (New), Nightlife, Bars, METADATA;156 7th Ave (between 19th St & 20th St) New York, NY 10011 Neighborhood: Chelsea;Mon-Tue 11 am - 11 pm Wed 11 am - 12 am Thu-Fri 11 am - 1 am Sat 10 am - 1 am Sun 10 am - 10 pm;No;Yes;Street;Casual;Yes;$$;Yes;Yes;Yes;Yes;Yes;No;Dinner;Full Bar;Loud;Trendy;No;Yes;Yes;http://www.elmorestaurant.com/;(212) 337-8000;44
DGcqTY5aK1bZMHjVP1PsCQ;Aroma Kitchen & Winebar;Aroma Kitchen & Winebar - NoHo - New York, NY;207;4;Restaurants, Italian, Nightlife, Bars, Wine Bars, METADATA;36 E 4th St (between Lafayette St & Bowery) New York, NY 10003 Neighborhood: NoHo;Mon-Thu, Sun 5 pm - 12 am Fri-Sat 5 pm - 1 am;No;Yes;Street;Casual;Yes;$$$;Yes;No;Yes;Yes;No;Free;Dinner;Beer & Wine Only;Average;Romantic, Intimate;No;No;No;http://www.aromanyc.com;(212) 375-0100;28
UhhUpqZ1-vfANH7vMlvDwg;West 3rd Common;West 3rd Common - Greenwich Village - New York, NY;99;3,5;Restaurants, Gastropubs, Nightlife, Bars, Breakfast & Brunch, METADATA;1 W 3rd St (between Great Jones St & Broadway) New York, NY 10012 Neighborhoods: Greenwich Village, NoHo;Mon-Thu, Sun 12 pm - 2 am Fri-Sat 12 pm - 4 am;No;Yes;Street;Casual;Yes;$$;Yes;No;Yes;Yes;No;Free;Late Night, Dinner;Full Bar;Average;Casual;Yes;No;No;http://www.west3rdcommon.com;(212) 529-2059;10
yM61f4KvO8tAZLDgUIhKGA;Ace Bar;Ace Bar - East Village - New York, NY;207;3,5;Nightlife, Bars, METADATA;531 E 5th St (between Avenue A & Avenue B) New York, NY 10009 Neighborhoods: East Village, Alphabet City;Mon-Fri 3 pm - 4 am Sat-Sun 2 pm - 4 am;;Yes;Street;;Yes;$;;;;;No;;;Full Bar;Loud;Divey;Yes;;Yes;http://www.acebar.com;(212) 979-8476;13
jF9QwxdLlac3LHJU7hJ02A;Blue & Gold Tavern;Blue & Gold Tavern - East Village - New York, NY;202;3,5;Nightlife, Bars, METADATA;79 E 7th St (between 2nd Ave & 1st Ave) New York, NY 10003 Neighborhood: East Village;;;No;Street;;Yes;$;;;;;No;;;Full Bar;Very Loud;Divey;Yes;;No;;(212) 473-8918;16
5mqqqlQQB7BmVP3CH8ohag;d.b.a.;d.b.a. - East Village - New York, NY;315;3,5;Nightlife, Bars, METADATA;41 1st Ave (between 2nd Ave & 3rd St) New York, NY 10003 Neighborhood: East Village;Mon-Sun 1 pm - 4 am;;Yes;Street;;Yes;$$;;;;;Yes;;;Full Bar;Loud;Hipster, Casual;Yes;;Yes;http://www.drinkgoodstuff.com/ny/d…;(212) 475-5097;15
eiUunAGxThzzkLTA526BsQ;Plug Uglies;Plug Uglies - Gramercy - New York, NY;38;3;Restaurants, Nightlife, Bars, Pubs, METADATA;257 3rd Ave (between 20th St & 21st St) New York, NY 10010 Neighborhood: Gramercy;Mon-Sat 1 pm - 4 am Sun 12 pm - 4 am;No;Yes;Street;Casual;Yes;$;No;No;No;No;No;;Late Night;Full Bar;Loud;Divey, Casual;Yes;No;Yes;http://www.plugugliesnyc.com/;(212) 780-1944;4
U72tdPNnu47OM4NTXQl20g;The Redhead;The Redhead - East Village - New York, NY;352;4;Restaurants, American (Traditional), Nightlife, Bars, METADATA;349 E 13th St (between 1st Ave & 2nd Ave) New York, NY 10003 Neighborhood: East Village;Mon-Sun 4 pm - 2 am;No;Yes;Street;Casual;No;$$;No;No;No;Yes;No;No;Dinner;Full Bar;Average;Romantic, Trendy, Casual, Intimate;No;No;Yes;http://www.theredheadnyc.com;(212) 533-6212;21
MhlVUrdazHLpKij1rPlzVQ;Grassroots Tavern;Grassroots Tavern - East Village - New York, NY;155;3,5;Nightlife, Bars, Dive Bars, METADATA;20 St. Marks Pl (between 3rd Ave & Astor Pl) New York, NY 10003 Neighborhood: East Village;;;No;Street;;Yes;$;;;;;No;;;Full Bar;Average;Divey;Yes;;No;;(212) 475-9443;10
bEloKDe-QVkwakAwmFKbbA;Frying Pan;Frying Pan - New York, NY;663;4;Nightlife, Bars, Event Planning & Services, Venues & Event Spaces, METADATA;Pier 66 Maritime New York, NY 10001;;;Yes;Street;;Yes;$$;;;;;Yes;;;Full Bar;Average;Casual;No;;No;http://www.fryingpan.com;(212) 989-6363;42
